Name,Release Date,Fingerprint Scanner,Page
Lenovo IdeaPad Flex 5 16IAU7 Intel Core i7-1255U 16GB Memory 1 TB PCIe SSD Intel Iris Xe Graphics 16'' Touchscreen 2560 x 1600 Convertible 2-in-1 Laptop Windows 11 Home 64-bit 82R80000US,Unknown,False,1
Acer Laptop Aspire 5 Intel Core i5-1335U 16 GB LPDDR5 Memory 512 GB PCIe SSD Intel Iris Xe Graphics 15.6'' Windows 11 Home 64-bit A515-58M-54LG,Unknown,False,1
Acer Nitro V ANV15-51-75HE 15.6'' 144 Hz IPS Intel Core i7-13620H GeForce RTX 4050 Laptop GPU 16GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop,Unknown,False,1
Acer Laptop Aspire 5 Intel Core i7-1355U 16 GB LPDDR5 Memory 512 GB PCIe SSD Intel Iris Xe Graphics 15.6'' Windows 11 Home 64-bit A515-58M-78JL,Unknown,False,1
"ASUS Vivobook Go 15.6"" OLED Laptop, AMD Ryzen 5 7520U, 16GB, 512GB, Windows 11 Home, Cool Silver, E1504FA-NS54",Unknown,False,1
"MSI Modern 14 14"" Ultra Thin and Light Laptop AMD Ryzen 7-7730U UMA 16GB 512GB NVMe SSD Win 11 home, C7M-048US",Unknown,False,1
"ASUS Laptop VivoBook Intel Core i9-13900H 16GB Memory 1 TB PCIe SSD Intel Iris Xe Graphics 15.6"" Windows 11 Home 64-bit Quiet Blue F1502VA-NS96",Unknown,False,1
MSI Bravo 15 B7EDP-024US 15.6'' 144 Hz IPS AMD Ryzen 7 7840HS AMD Radeon RX 6550M 16GB Memory 512 GB NVMe SSD Windows 11 Home 64-bit Gaming Laptop,Unknown,False,1
MSI Cyborg Gaming Laptop - 13th Gen Intel Core i7-13620H - GeForce RTX 4050 - 144HZ 1080p - 16GB RAM - 512GB SSD - A13VE-218US Notebook PC,Unknown,False,1
"Auusda Business Laptop, 32GB RAM 1TB SSD, Windows 11 Pro Computers, 15.6"" 1920 x 1080 Screen, Intel N95 CPU, Backlight Keyboard, Fingerprint Reader, Mini HDMI, USB-A, Silver",Unknown,True,1
"Auusda 15.6"" Gaming Laptop w/AMD Ryzen 7 5700U up to 4.3GHz, 32GB DDR4 RAM 1TB NVMe SSD, Windows 11 Pro Laptop Computer, Backlit Keyboard, Fingerprint Unlock, Notebook, Gray",Unknown,True,1
"LENOVO V-Series V15 Gen 2 Business Laptop, 15.6"" FHD Display, Intel Celeron N4500, 16GB RAM, 512GB SSD, Webcam, HDMI, Wi-Fi, Windows 11 Pro, Black",Unknown,False,1
"Lenovo V15 G2 Laptop | 15.6"" FHD Screen | Intel Celeron N4500 | 16GB RAM | 1TB SSD | Webcam | HDMI | Wi-Fi | Windows 11 Home | Black",Unknown,False,1
"Lenovo IdeaPad 3 Laptop, 15.6"" FHD Display, AMD Ryzen 7 5700U, 24GB RAM, 1TB SSD, Backlit KB, SD Card Reader, HDMI, Webcam, Wi-Fi 6, Windows 11 Home, Grey",Unknown,False,1
"HP Pavilion Laptop, 15.6"" FHD Touchscreen, 13th Gen Intel Core i7-1355U, 64GB RAM, 1TB PCIe SSD, Webcam, Type-C, FP Reader, Backlit KB, Wi-Fi 6, Windows 11 Pro, White",Unknown,False,1
"Lenovo Flex 5i 2-in-1, 14"" IPS FHD Touch Display, Intel Core i5-1135G7 Upto 4.2GHz, 8GB RAM, 512GB NVMe SSD, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro",Unknown,False,1
"Lenovo ThinkPad E14 Gen 5 Intel Laptop, 14"" IPS  60Hz, i5-1335U,  UHD, 8GB, 512GB, Win 11 Pro, One YR Onsite Warranty",Unknown,False,1
"Refurbished HP ENVY x360 AMD Ryzen 5 PRO 7530U 8GB Memory 256 GB PCIe SSD AMD Radeon Graphics 15.6"" Touchscreen 1920 x 1080 Convertible 2-in-1 Laptop Windows 11 Home 64-bit 15-fh0013dx",Unknown,False,1
"Lenovo IdeaPad Slim 5i Laptop Intel i7 13th Gen 1355U 16GB RAM 1TB  SSD 16.0"" Windows 11 Home Intel Iris Xe Graphics 82XF002SUS",Unknown,False,1
"Dell Inspiron 15 3000 3511 Business Laptop 15.6"" FHD Anti-Glare Display 11th Gen Intel Quad-Core i7-1165G7 Processor 32GB RAM 1TB SSD Intel Iris Xe Graphics HDMI Webcam Bluetooth Win10 Pro Black",Unknown,False,1
"Refurbished HP Envy 16-H0055 Home & Business Laptop (Intel i7-12700H 14-Core, 32GB DDR5 4800MHz RAM, 1TB PCIe SSD, Intel ARC A370M, 15.6"" 120 Hz Touch Wide QXGA (2560x1600), Wifi, Win 10 Pro) Refurbished",Unknown,False,1
"HP 15-dy2035tg 15.6"" FHD IPS Laptop Intel Core i3-1125G4 2.00 GHz up to 3.7 GHz Intel UHD Graphics 8 GB DDR4-2666 RAM 256 GB SSD Windows 10 Home S Mode - 347U7UA",Unknown,False,1
"Dell Latitude 3540 15.6"" Notebook - Intel Core i5 1335U 13th Gen - 16GB Memory - 256 GB SSD - Windows 11 Pro  4MRP5",Unknown,False,1
"Refurbished Dell Latitude 5510 15.6"" 1920x1080 FHD Business Laptop PC, Intel Core i7 10th Gen i7-10810U Quad Core 4.9GHz, 16GB DDR4 RAM, 512GB M.2 SSD, Windows 11 Pro Grade A",Unknown,False,1
"Refurbished DELL Grade A Laptop Latitude Intel Core i5-1145G7 16GB Memory 512 GB SSD Intel Iris Xe Graphics 15.6"" Windows 11 Pro 64-bit 5520",Unknown,False,1
"Lenovo ThinkBook 13s Gen 4 Intel Laptop, 13.3"" IPS  Low Power, i5-1240P,   Iris Xe Graphics, 8GB, 256GB, One YR Onsite Warranty",Unknown,False,1
"HP Essential 17t Laptop, 17.3"" HD+ Touchscreen, Intel Core i7-1355U, 32GB RAM, 1TB SSD, Webcam, HDMI, Backlit Keyboard, Fingerprint Reader, Wi-Fi 6, Windows 11 Home, Pale Rose Gold",Unknown,True,1
"ACEMAGIC Gaming Laptop AMD Ryzen 7 5700U(8C/16T), Radeon RX Vega 8 Graphics,16.1FHD Display,16GB RAM 512GB NVMe SSD Laptop Computer with Backlit KB,Type_C (Full Function),WiFi 6, 53Wh Battery",Unknown,False,1
"Lenovo Yoga Pro 7 Laptop, 14.5"" IPS  Glass,  GeForce RTX 3050 Laptop GPU 6GB GDDR6, 16GB, 1TB SSD",Unknown,False,1
"Refurbished Dell Latitude 5501 15.6"" 1920x1080 FHD Laptop PC, Intel Core i5 9th Gen i5-9400H upto 4.3GHz, 16GB DDR4 RAM, 512GB SSD, Nvidia GeForce MX150, Windows 10 Pro Grade A",Unknown,False,1
"Lenovo V15 G4 Business Laptop, 15.6"" FHD Screen, 13th Gen Intel 10 Cores i7-1355U up to 5.0GHz, 24GB RAM, 1TB PCIe SSD, HD Camera with Privacy Shutter, Wi-Fi, HDMI, Windows 11 Pro, Black",Unknown,False,1
"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120 Processor, 16GB RAM, 64GB Storage, Intel UHD Graphics, 720p Webcam, 1 Year Office 365, Pink, Win 11 S, 32GB Hotface USB Card",Unknown,False,1
"HP Essential 255 G8 Laptop, 15.6"" FHD Display, AMD Ryzen 5 5500U, 32GB RAM, 1TB PCIe SSD, Webcam, SD Card Reader, HDMI, Wi-Fi 6, Windows 11 Home, Dark Ash Silver",Unknown,False,1
"Lenovo IdeaPad 3 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1155G7, 16GB RAM, 512GB SSD, Webcam, HDMI, Wi-Fi 6, Windows 11 Home, Blue",Unknown,False,1
"HP 840 G8 Elitebook Laptop Intel Core i5-1145G7 2.6GHz 16GB RAM 256GB SSD  14"" FHD Windows 10 Pro 64-bit Includes HP USB-C Dock G5",Unknown,False,1
"Acer Nitro V ANV15-51-98N0 15.6"" 144 Hz IPS Intel Core i9-13900H GeForce RTX 4060 Laptop GPU 16GB Memory 512 GB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",Unknown,False,1
"MSI Thin GF63 15.6"" Gaming Notebook FHD 144Hz Intel Core i5-12450H 8GB RAM 512GB SSD NVIDIA GeForce RTX 2050 4GB Black - 15.6"" FHD Display - In-Plane Switching Technology - Intel Core i5-124",Unknown,False,1
"HP Envy x360 2-in-1 Laptop 16.0"" Touchscreen IPS WUXGA Display (12-Core Intel Ultra 5-125U, 16GB LPDDR5, 512GB SSD, Backlit KYB, Thunderbolt 4, WiFi 6E, Win 11 Home)",Unknown,False,1
"Lenovo - Yoga 7 2-in-1 14"" 2K Touchscreen Laptop - AMD Ryzen 7 8840HS with 16GB Memory - 1 TB SSD - Artic Grey",Unknown,False,1
"MSI Prestige 14 Evo Professional Laptop: 14"" FHD Ultra-Thin Bezel Display, Intel Core i7-1195G7, Intel Iris Xe, 16GB RAM, 512GB NVMe SSD, Thunderbolt 4, Win10 Home, Intel Evo, Carbon Gray (A11MO-052)",Unknown,False,1
"Lenovo V14 G4 IRU 83A00023US 14"" Notebook - Full HD - 1920 x 1080 - Intel Core i5 13th Gen i5-1335U Deca-core (10 Core) 1.30 GHz - 8 GB Total RAM - 8 GB On-board Memory - 256 GB SSD - Black - Int",Unknown,False,1
"New HP 17.3"" HD+ (1600 X 900) TouchScreen AMD Radeon Graphics AMD Ryzen 5 7530U 16GB RAM 512GB SSD Wi-Fi 6 Bluetooth 5.3 USB Type-C HDMI 1.4 Windows 11 Home Silver",Unknown,False,1
